signal,component1,pin1,x1,y1,layer1,component2,pin2,x2,y2,layer2
L-COL2,L-S14,1,3.7214381418346436,-5.857447537472073,TOP,U1,3,4.709201,-7.32278,TOP
L-COL2,L-S14,1,3.7214381418346436,-5.857447537472073,TOP,L-S8,1,3.6411881418346437,-5.0939375374720735,TOP
L-COL2,L-S14,1,3.7214381418346436,-5.857447537472073,TOP,L-S2,1,3.5609381418346437,-4.330427537472073,TOP
L-COL2,U1,3,4.709201,-7.32278,TOP,L-S8,1,3.6411881418346437,-5.0939375374720735,TOP
L-COL2,U1,3,4.709201,-7.32278,TOP,L-S2,1,3.5609381418346437,-4.330427537472073,TOP
L-COL2,L-S8,1,3.6411881418346437,-5.0939375374720735,TOP,L-S2,1,3.5609381418346437,-4.330427537472073,TOP
Net-(L-D14-A),L-S14,2,4.20034468892179,-5.894203525202867,TOP,L-D14,2,4.265009768309055,-6.04453526096374,TOP
L-COL4,L-S4,1,5.278415000000001,-4.53954,TOP,L-S10,1,5.278415000000001,-5.307259999999999,TOP
L-COL4,L-S4,1,5.278415000000001,-4.53954,TOP,L-S16,1,5.278415000000001,-6.07498,TOP
L-COL4,L-S4,1,5.278415000000001,-4.53954,TOP,U1,5,4.709201,-7.1227800000000006,TOP
L-COL4,L-S4,1,5.278415000000001,-4.53954,TOP,L-S19,1,6.0461350000000005,-7.0592299999999994,TOP
L-COL4,L-S10,1,5.278415000000001,-5.307259999999999,TOP,L-S16,1,5.278415000000001,-6.07498,TOP
L-COL4,L-S10,1,5.278415000000001,-5.307259999999999,TOP,U1,5,4.709201,-7.1227800000000006,TOP
L-COL4,L-S10,1,5.278415000000001,-5.307259999999999,TOP,L-S19,1,6.0461350000000005,-7.0592299999999994,TOP
L-COL4,L-S16,1,5.278415000000001,-6.07498,TOP,U1,5,4.709201,-7.1227800000000006,TOP
L-COL4,L-S16,1,5.278415000000001,-6.07498,TOP,L-S19,1,6.0461350000000005,-7.0592299999999994,TOP
L-COL4,U1,5,4.709201,-7.1227800000000006,TOP,L-S19,1,6.0461350000000005,-7.0592299999999994,TOP
Net-(L-D4-A),L-S4,2,5.750856000000001,-4.626154,TOP,L-D4,2,5.80723,-5.0618894,TOP
L-VBAT,L-BAT+1,1,4.77771,-6.2863,TOP,L-PSW1,3,3.5218,-7.489056,TOP
L-COL3,L-S9,1,4.449201043674785,-4.805435364390771,TOP,U1,4,4.709201,-7.22278,TOP
L-COL3,L-S9,1,4.449201043674785,-4.805435364390771,TOP,L-S15,1,4.489381043674785,-5.572095364390771,TOP
L-COL3,L-S9,1,4.449201043674785,-4.805435364390771,TOP,L-S3,1,4.409021043674785,-4.0387653643907715,TOP
L-COL3,L-S9,1,4.449201043674785,-4.805435364390771,TOP,L-S18,1,5.278415000000001,-7.0592299999999994,TOP
L-COL3,U1,4,4.709201,-7.22278,TOP,L-S15,1,4.489381043674785,-5.572095364390771,TOP
L-COL3,U1,4,4.709201,-7.22278,TOP,L-S3,1,4.409021043674785,-4.0387653643907715,TOP
L-COL3,U1,4,4.709201,-7.22278,TOP,L-S18,1,5.278415000000001,-7.0592299999999994,TOP
L-COL3,L-S15,1,4.489381043674785,-5.572095364390771,TOP,L-S3,1,4.409021043674785,-4.0387653643907715,TOP
L-COL3,L-S15,1,4.489381043674785,-5.572095364390771,TOP,L-S18,1,5.278415000000001,-7.0592299999999994,TOP
L-COL3,L-S3,1,4.409021043674785,-4.0387653643907715,TOP,L-S18,1,5.278415000000001,-7.0592299999999994,TOP
Net-(L-D9-A),L-S9,2,4.9255276062177975,-4.867205011410631,TOP,L-D9,2,5.01983,-5.2685894,TOP
L-GND,L-GND1,1,4.6222,-6.29024,TOP,U1,13,4.072784,-7.42278,TOP
L-GND,L-GND1,1,4.6222,-6.29024,TOP,U1,16,4.567075,-7.3101225,TOP
L-GND,U1,13,4.072784,-7.42278,TOP,U1,16,4.567075,-7.3101225,TOP
Net-(L-D10-A),L-S10,2,5.750856000000001,-5.393873999999999,TOP,L-D10,2,5.79739,-5.8197694,TOP
L-COL1,L-S7,1,2.91604853577589,-5.812324147294834,TOP,U1,2,4.709201,-7.42278,TOP
L-COL1,L-S7,1,2.91604853577589,-5.812324147294834,TOP,L-S1,1,2.7959585357758896,-5.054064147294834,TOP
L-COL1,L-S7,1,2.91604853577589,-5.812324147294834,TOP,L-S13,1,3.0361485357758897,-6.570594147294836,TOP
L-COL1,U1,2,4.709201,-7.42278,TOP,L-S1,1,2.7959585357758896,-5.054064147294834,TOP
L-COL1,U1,2,4.709201,-7.42278,TOP,L-S13,1,3.0361485357758897,-6.570594147294836,TOP
L-COL1,L-S1,1,2.7959585357758896,-5.054064147294834,TOP,L-S13,1,3.0361485357758897,-6.570594147294836,TOP
Net-(L-D7-A),L-S7,2,3.396222417849992,-5.82396573012907,TOP,L-D7,2,3.4663679232903073,-5.942619172781935,TOP
Net-(L-D16-A),L-S16,2,5.750856000000001,-6.161594,TOP,L-D16,2,5.6910906,-6.68591,TOP
L-COL0,L-S6,1,2.1577885357758895,-5.932424147294835,TOP,U1,1,4.709201,-7.52278,TOP
L-COL0,L-S6,1,2.1577885357758895,-5.932424147294835,TOP,L-S12,1,2.27788853577589,-6.690684147294835,TOP
L-COL0,L-S6,1,2.1577885357758895,-5.932424147294835,TOP,L-S0,1,2.0376885357758896,-5.174164147294835,TOP
L-COL0,U1,1,4.709201,-7.52278,TOP,L-S12,1,2.27788853577589,-6.690684147294835,TOP
L-COL0,U1,1,4.709201,-7.52278,TOP,L-S0,1,2.0376885357758896,-5.174164147294835,TOP
L-COL0,L-S12,1,2.27788853577589,-6.690684147294835,TOP,L-S0,1,2.0376885357758896,-5.174164147294835,TOP
Net-(L-D6-A),L-S6,2,2.6379624178499914,-5.944065730129071,TOP,L-D6,2,2.6966779232903075,-6.070569172781935,TOP
L-COL5,U1,6,4.709201,-7.02278,TOP,L-S17,1,6.0461350000000005,-6.07498,TOP
L-COL5,U1,6,4.709201,-7.02278,TOP,L-S20,1,6.907824434439497,-7.105352373074398,TOP
L-COL5,U1,6,4.709201,-7.02278,TOP,L-S5,1,6.0461350000000005,-4.53954,TOP
L-COL5,U1,6,4.709201,-7.02278,TOP,L-S11,1,6.0461350000000005,-5.307259999999999,TOP
L-COL5,L-S17,1,6.0461350000000005,-6.07498,TOP,L-S20,1,6.907824434439497,-7.105352373074398,TOP
L-COL5,L-S17,1,6.0461350000000005,-6.07498,TOP,L-S5,1,6.0461350000000005,-4.53954,TOP
L-COL5,L-S17,1,6.0461350000000005,-6.07498,TOP,L-S11,1,6.0461350000000005,-5.307259999999999,TOP
L-COL5,L-S20,1,6.907824434439497,-7.105352373074398,TOP,L-S5,1,6.0461350000000005,-4.53954,TOP
L-COL5,L-S20,1,6.907824434439497,-7.105352373074398,TOP,L-S11,1,6.0461350000000005,-5.307259999999999,TOP
L-COL5,L-S5,1,6.0461350000000005,-4.53954,TOP,L-S11,1,6.0461350000000005,-5.307259999999999,TOP
L-ROW3,U1,8,4.072784,-6.92278,TOP,L-D19,1,6.4588106,-6.89457,TOP
L-ROW3,U1,8,4.072784,-6.92278,TOP,L-D20,1,6.558039172781935,-7.000547923290308,TOP
L-ROW3,U1,8,4.072784,-6.92278,TOP,L-D18,1,5.5631394,-6.89063,TOP
L-ROW3,L-D19,1,6.4588106,-6.89457,TOP,L-D20,1,6.558039172781935,-7.000547923290308,TOP
L-ROW3,L-D19,1,6.4588106,-6.89457,TOP,L-D18,1,5.5631394,-6.89063,TOP
L-ROW3,L-D20,1,6.558039172781935,-7.000547923290308,TOP,L-D18,1,5.5631394,-6.89063,TOP
L-ROW2,U1,9,4.072784,-7.02278,TOP,L-D12,1,2.761637923290307,-6.409149172781935,TOP
L-ROW2,U1,9,4.072784,-7.02278,TOP,L-D17,1,6.3308594,-6.68197,TOP
L-ROW2,U1,9,4.072784,-7.02278,TOP,L-D14,1,4.278590231690945,-6.17374473903626,TOP
L-ROW2,U1,9,4.072784,-7.02278,TOP,L-D15,1,5.01983,-6.1307906,TOP
