id,x,y,z,component,pin_name,layer,signal,connected_to,connected_ids
0,3.6678212013864306,-6.100604070793661,0.0,L-S14,none,TOP,unconnected,[],[]
1,3.7085921379950517,-6.300191709411527,0.0,L-S14,none,TOP,unconnected,[],[]
2,3.8588898149667994,-5.846959470578171,0.0,L-S14,none,TOP,unconnected,[],[]
3,3.88317,-6.07797,0.0,L-S14,none,TOP,unconnected,[],[]
4,4.063303549827624,-5.908607129327296,0.0,L-S14,none,TOP,unconnected,[],[]
5,4.0985187986135685,-6.055335929206338,0.0,L-S14,none,TOP,unconnected,[],[]
6,3.7214381418346436,-5.857447537472073,0.0,L-S14,1,TOP,L-COL2,U1:3|L-S8:1|L-S2:1,"[60,141,149]"
7,4.20034468892179,-5.894203525202867,0.0,L-S14,2,TOP,Net-(L-D14-A),L-D14:2,[224]
8,5.199675,-4.77576,0.0,L-S4,none,TOP,unconnected,[],[]
9,5.21936,-4.978516,0.0,L-S4,none,TOP,unconnected,[],[]
10,5.41621,-4.543477,0.0,L-S4,none,TOP,unconnected,[],[]
11,5.41621,-4.77576,0.0,L-S4,none,TOP,unconnected,[],[]
12,5.613060000000001,-4.626154,0.0,L-S4,none,TOP,unconnected,[],[]
13,5.632745000000001,-4.77576,0.0,L-S4,none,TOP,unconnected,[],[]
14,5.278415000000001,-4.53954,0.0,L-S4,1,TOP,L-COL4,L-S10:1|L-S16:1|U1:5|L-S19:1,"[32,48,62,102]"
15,5.750856000000001,-4.626154,0.0,L-S4,2,TOP,Net-(L-D4-A),L-D4:2,[210]
16,4.77771,-6.2863,0.0,L-BAT+1,1,TOP,L-VBAT,L-PSW1:3,[124]
17,4.382931753691919,-5.045452566285065,0.0,L-S9,none,TOP,unconnected,[],[]
18,4.413201205227557,-5.2469004629351215,0.0,L-S9,none,TOP,unconnected,[],[]
19,4.58701324707602,-4.802155335778603,0.0,L-S9,none,TOP,unconnected,[],[]
20,4.59917,-5.03412,0.0,L-S9,none,TOP,unconnected,[],[]
21,4.787920450846756,-4.874416696837083,0.0,L-S9,none,TOP,unconnected,[],[]
22,4.815408246308081,-5.022787433714934,0.0,L-S9,none,TOP,unconnected,[],[]
23,4.449201043674785,-4.805435364390771,0.0,L-S9,1,TOP,L-COL3,U1:4|L-S15:1|L-S3:1|L-S18:1,"[61,110,157,189]"
24,4.9255276062177975,-4.867205011410631,0.0,L-S9,2,TOP,Net-(L-D9-A),L-D9:2,[214]
25,4.6222,-6.29024,0.0,L-GND1,1,TOP,L-GND,U1:13|U1:16,"[70,73]"
26,5.199675,-5.54348,0.0,L-S10,none,TOP,unconnected,[],[]
27,5.21936,-5.746236,0.0,L-S10,none,TOP,unconnected,[],[]
28,5.41621,-5.311197,0.0,L-S10,none,TOP,unconnected,[],[]
29,5.41621,-5.54348,0.0,L-S10,none,TOP,unconnected,[],[]
30,5.613060000000001,-5.393873999999999,0.0,L-S10,none,TOP,unconnected,[],[]
31,5.632745000000001,-5.54348,0.0,L-S10,none,TOP,unconnected,[],[]
32,5.278415000000001,-5.307259999999999,0.0,L-S10,1,TOP,L-COL4,L-S4:1|L-S16:1|U1:5|L-S19:1,"[14,48,62,102]"
33,5.750856000000001,-5.393873999999999,0.0,L-S10,2,TOP,Net-(L-D10-A),L-D10:2,[238]
34,2.875230905169232,-6.057953536887486,0.0,L-S7,none,TOP,unconnected,[],[]
35,2.9263915765475446,-6.2551338616288765,0.0,L-S7,none,TOP,unconnected,[],[]
36,3.05276293315706,-5.7946567891815395,0.0,L-S7,none,TOP,unconnected,[],[]
37,3.0891,-6.02408,0.0,L-S7,none,TOP,unconnected,[],[]
38,3.2601229152693443,-5.845521773673754,0.0,L-S7,none,TOP,unconnected,[],[]
39,3.302969094830768,-5.990206463112513,0.0,L-S7,none,TOP,unconnected,[],[]
40,2.91604853577589,-5.812324147294834,0.0,L-S7,1,TOP,L-COL1,U1:2|L-S1:1|L-S13:1,"[59,94,181]"
41,3.396222417849992,-5.82396573012907,0.0,L-S7,2,TOP,Net-(L-D7-A),L-D7:2,[206]
42,5.199675,-6.3112,0.0,L-S16,none,TOP,unconnected,[],[]
43,5.21936,-6.513956,0.0,L-S16,none,TOP,unconnected,[],[]
44,5.41621,-6.078917000000001,0.0,L-S16,none,TOP,unconnected,[],[]
45,5.41621,-6.3112,0.0,L-S16,none,TOP,unconnected,[],[]
46,5.613060000000001,-6.161594,0.0,L-S16,none,TOP,unconnected,[],[]
47,5.632745000000001,-6.3112,0.0,L-S16,none,TOP,unconnected,[],[]
48,5.278415000000001,-6.07498,0.0,L-S16,1,TOP,L-COL4,L-S4:1|L-S10:1|U1:5|L-S19:1,"[14,32,62,102]"
49,5.750856000000001,-6.161594,0.0,L-S16,2,TOP,Net-(L-D16-A),L-D16:2,[230]
50,2.116970905169232,-6.178053536887487,0.0,L-S6,none,TOP,unconnected,[],[]
51,2.168131576547544,-6.375233861628877,0.0,L-S6,none,TOP,unconnected,[],[]
52,2.2945029331570597,-5.91475678918154,0.0,L-S6,none,TOP,unconnected,[],[]
53,2.33084,-6.14418,0.0,L-S6,none,TOP,unconnected,[],[]
54,2.501862915269344,-5.965621773673755,0.0,L-S6,none,TOP,unconnected,[],[]
55,2.544709094830768,-6.110306463112514,0.0,L-S6,none,TOP,unconnected,[],[]
56,2.1577885357758895,-5.932424147294835,0.0,L-S6,1,TOP,L-COL0,U1:1|L-S12:1|L-S0:1,"[58,86,133]"
57,2.6379624178499914,-5.944065730129071,0.0,L-S6,2,TOP,Net-(L-D6-A),L-D6:2,[202]
58,4.709201,-7.52278,0.0,U1,1,TOP,L-COL0,L-S6:1|L-S12:1|L-S0:1,"[56,86,133]"
59,4.709201,-7.42278,0.0,U1,2,TOP,L-COL1,L-S7:1|L-S1:1|L-S13:1,"[40,94,181]"
60,4.709201,-7.32278,0.0,U1,3,TOP,L-COL2,L-S14:1|L-S8:1|L-S2:1,"[6,141,149]"
61,4.709201,-7.22278,0.0,U1,4,TOP,L-COL3,L-S9:1|L-S15:1|L-S3:1|L-S18:1,"[23,110,157,189]"
62,4.709201,-7.1227800000000006,0.0,U1,5,TOP,L-COL4,L-S4:1|L-S10:1|L-S16:1|L-S19:1,"[14,32,48,102]"
63,4.709201,-7.02278,0.0,U1,6,TOP,L-COL5,L-S17:1|L-S20:1|L-S5:1|L-S11:1,"[118,165,173,197]"
64,4.709201,-6.92278,0.0,U1,7,TOP,unconnected-(U1-P1.11_D6_TX-Pad7),,[]
65,4.072784,-6.92278,0.0,U1,8,TOP,L-ROW3,L-D19:1|L-D20:1|L-D18:1,"[207,219,233]"
66,4.072784,-7.02278,0.0,U1,9,TOP,L-ROW2,L-D12:1|L-D17:1|L-D14:1|L-D15:1|L-D16:1|L-D13:1,"[217,221,223,225,229,231]"
67,4.072784,-7.1227800000000006,0.0,U1,10,TOP,L-ROW1,L-D11:1|L-D6:1|L-D8:1|L-D7:1|L-D9:1|L-D10:1,"[199,201,203,205,213,237]"
68,4.072784,-7.22278,0.0,U1,11,TOP,L-ROW0,L-D4:1|L-D1:1|L-D3:1|L-D2:1|L-D0:1|L-D5:1,"[209,211,215,227,235,239]"
69,4.072784,-7.32278,0.0,U1,12,TOP,unconnected-(U1-3V3-Pad12),,[]
70,4.072784,-7.42278,0.0,U1,13,TOP,L-GND,L-GND1:1|U1:16,"[25,73]"
71,4.072784,-7.52278,0.0,U1,14,TOP,unconnected-(U1-5V-Pad14),,[]
72,4.567075,-7.2351225,0.0,U1,15,TOP,L-BAT+,L-PSW1:2,[123]
73,4.567075,-7.3101225,0.0,U1,16,TOP,L-GND,L-GND1:1|U1:13,"[25,70]"
74,4.242075000000001,-6.859123,0.0,U1,17,TOP,unconnected-(U1-NFC1-Pad17),,[]
75,4.1670750000000005,-6.859123,0.0,U1,18,TOP,unconnected-(U1-NFC2-Pad18),,[]
76,4.4420754,-7.560123,0.0,U1,19,TOP,unconnected-(U1-PA31_SWDIO-Pad19),,[]
77,4.342075400000001,-7.560123,0.0,U1,20,TOP,unconnected-(U1-PA30_SWCLK-Pad20),,[]
78,4.4420754,-7.460123,0.0,U1,21,TOP,unconnected-(U1-RESET-Pad21),,[]
79,4.342075400000001,-7.460123,0.0,U1,22,TOP,unconnected-(U1-GND-Pad22),,[]
80,2.237070905169232,-6.936313536887487,0.0,L-S12,none,TOP,unconnected,[],[]
81,2.2882315765475445,-7.133493861628877,0.0,L-S12,none,TOP,unconnected,[],[]
82,2.41460293315706,-6.67301678918154,0.0,L-S12,none,TOP,unconnected,[],[]
83,2.45094,-6.90244,0.0,L-S12,none,TOP,unconnected,[],[]
84,2.621962915269344,-6.723881773673755,0.0,L-S12,none,TOP,unconnected,[],[]
85,2.664809094830768,-6.868566463112514,0.0,L-S12,none,TOP,unconnected,[],[]
86,2.27788853577589,-6.690684147294835,0.0,L-S12,1,TOP,L-COL0,L-S6:1|U1:1|L-S0:1,"[56,58,133]"
87,2.7580624178499917,-6.702325730129071,0.0,L-S12,2,TOP,Net-(L-D12-A),L-D12:2,[218]
88,2.755140905169232,-5.299693536887486,0.0,L-S1,none,TOP,unconnected,[],[]
89,2.8063015765475443,-5.496873861628877,0.0,L-S1,none,TOP,unconnected,[],[]
90,2.93267293315706,-5.0363967891815395,0.0,L-S1,none,TOP,unconnected,[],[]
91,2.96901,-5.26582,0.0,L-S1,none,TOP,unconnected,[],[]
92,3.140032915269344,-5.087261773673754,0.0,L-S1,none,TOP,unconnected,[],[]
93,3.182879094830768,-5.231946463112513,0.0,L-S1,none,TOP,unconnected,[],[]
94,2.7959585357758896,-5.054064147294834,0.0,L-S1,1,TOP,L-COL1,L-S7:1|U1:2|L-S13:1,"[40,59,181]"
95,3.2761324178499915,-5.06570573012907,0.0,L-S1,2,TOP,Net-(L-D1-A),L-D1:2,[212]
96,5.967395,-7.29545,0.0,L-S19,none,TOP,unconnected,[],[]
97,5.98708,-7.498206,0.0,L-S19,none,TOP,unconnected,[],[]
98,6.18393,-7.063167,0.0,L-S19,none,TOP,unconnected,[],[]
99,6.18393,-7.29545,0.0,L-S19,none,TOP,unconnected,[],[]
100,6.380780000000001,-7.145843999999999,0.0,L-S19,none,TOP,unconnected,[],[]
101,6.4004650000000005,-7.29545,0.0,L-S19,none,TOP,unconnected,[],[]
102,6.0461350000000005,-7.0592299999999994,0.0,L-S19,1,TOP,L-COL4,L-S4:1|L-S10:1|L-S16:1|U1:5,"[14,32,48,62]"
103,6.518576,-7.145843999999999,0.0,L-S19,2,TOP,Net-(L-D19-A),L-D19:2,[208]
104,4.423111753691918,-5.812112566285065,0.0,L-S15,none,TOP,unconnected,[],[]
105,4.453381205227557,-6.013560462935121,0.0,L-S15,none,TOP,unconnected,[],[]
106,4.62719324707602,-5.568815335778603,0.0,L-S15,none,TOP,unconnected,[],[]
107,4.63935,-5.80078,0.0,L-S15,none,TOP,unconnected,[],[]
108,4.828100450846756,-5.641076696837083,0.0,L-S15,none,TOP,unconnected,[],[]
109,4.855588246308082,-5.789447433714934,0.0,L-S15,none,TOP,unconnected,[],[]
110,4.489381043674785,-5.572095364390771,0.0,L-S15,1,TOP,L-COL3,L-S9:1|U1:4|L-S3:1|L-S18:1,"[23,61,157,189]"
111,4.965707606217798,-5.633865011410631,0.0,L-S15,2,TOP,Net-(L-D15-A),L-D15:2,[226]
