component,pin_name,x,y,layer,signal
L-S14,none,3.6678212013864306,-6.100604070793661,TOP,unconnected
L-S14,none,3.7085921379950517,-6.300191709411527,TOP,unconnected
L-S14,none,3.8588898149667994,-5.846959470578171,TOP,unconnected
L-S14,none,3.88317,-6.07797,TOP,unconnected
L-S14,none,4.063303549827624,-5.908607129327296,TOP,unconnected
L-S14,none,4.0985187986135685,-6.055335929206338,TOP,unconnected
L-S14,1,3.7214381418346436,-5.857447537472073,TOP,L-COL2
L-S14,2,4.20034468892179,-5.894203525202867,TOP,Net-(L-D14-A)
L-S4,none,5.199675,-4.77576,TOP,unconnected
L-S4,none,5.21936,-4.978516,TOP,unconnected
L-S4,none,5.41621,-4.543477,TOP,unconnected
L-S4,none,5.41621,-4.77576,TOP,unconnected
L-S4,none,5.613060000000001,-4.626154,TOP,unconnected
L-S4,none,5.632745000000001,-4.77576,TOP,unconnected
L-S4,1,5.278415000000001,-4.53954,TOP,L-COL4
L-S4,2,5.750856000000001,-4.626154,TOP,Net-(L-D4-A)
L-BAT+1,1,4.77771,-6.2863,TOP,L-VBAT
L-S9,none,4.382931753691919,-5.045452566285065,TOP,unconnected
L-S9,none,4.413201205227557,-5.2469004629351215,TOP,unconnected
L-S9,none,4.58701324707602,-4.802155335778603,TOP,unconnected
L-S9,none,4.59917,-5.03412,TOP,unconnected
L-S9,none,4.787920450846756,-4.874416696837083,TOP,unconnected
L-S9,none,4.815408246308081,-5.022787433714934,TOP,unconnected
L-S9,1,4.449201043674785,-4.805435364390771,TOP,L-COL3
L-S9,2,4.9255276062177975,-4.867205011410631,TOP,Net-(L-D9-A)
L-GND1,1,4.6222,-6.29024,TOP,L-GND
L-S10,none,5.199675,-5.54348,TOP,unconnected
L-S10,none,5.21936,-5.746236,TOP,unconnected
L-S10,none,5.41621,-5.311197,TOP,unconnected
L-S10,none,5.41621,-5.54348,TOP,unconnected
L-S10,none,5.613060000000001,-5.393873999999999,TOP,unconnected
L-S10,none,5.632745000000001,-5.54348,TOP,unconnected
L-S10,1,5.278415000000001,-5.307259999999999,TOP,L-COL4
L-S10,2,5.750856000000001,-5.393873999999999,TOP,Net-(L-D10-A)
L-S7,none,2.875230905169232,-6.057953536887486,TOP,unconnected
L-S7,none,2.9263915765475446,-6.2551338616288765,TOP,unconnected
L-S7,none,3.05276293315706,-5.7946567891815395,TOP,unconnected
L-S7,none,3.0891,-6.02408,TOP,unconnected
L-S7,none,3.2601229152693443,-5.845521773673754,TOP,unconnected
L-S7,none,3.302969094830768,-5.990206463112513,TOP,unconnected
L-S7,1,2.91604853577589,-5.812324147294834,TOP,L-COL1
L-S7,2,3.396222417849992,-5.82396573012907,TOP,Net-(L-D7-A)
L-S16,none,5.199675,-6.3112,TOP,unconnected
L-S16,none,5.21936,-6.513956,TOP,unconnected
L-S16,none,5.41621,-6.078917000000001,TOP,unconnected
L-S16,none,5.41621,-6.3112,TOP,unconnected
L-S16,none,5.613060000000001,-6.161594,TOP,unconnected
L-S16,none,5.632745000000001,-6.3112,TOP,unconnected
