Designator,Mid X,Mid Y,Rotation,Layer
L-BAT+1,133.811,-148.5298,0.0,top
L-BAT+2,117.631,-173.0137,0.0,top
L-D0,71.7614,-124.6378,81.0,bottom
L-D1,90.0337,-121.7438,81.0,bottom
L-D10,149.5,-127.3,90.0,bottom
L-D11,168.0,-127.3,90.0,bottom
L-D12,77.5495,-161.1823,81.0,bottom
L-D13,95.8218,-158.2882,81.0,bottom
L-D14,112.1435,-140.3172,84.0,bottom
L-D15,130.5548,-133.1029,87.0,bottom
L-D16,149.5,-145.8,90.0,bottom
L-D17,168.0,-145.8,90.0,bottom
L-D18,149.5,-170.8,90.0,bottom
L-D19,168.0,-170.8,90.0,bottom
L-D2,108.276,-103.5199,84.0,bottom
L-D20,188.5763,-171.3176,99.0,bottom
L-D3,128.6183,-96.1536,87.0,bottom
L-D4,149.5,-108.8,90.0,bottom
L-D5,168.0,-108.8,90.0,bottom
L-D6,74.6555,-142.9101,81.0,bottom
L-D7,92.9277,-140.016,81.0,bottom
L-D8,110.2098,-121.9186,84.0,bottom
L-D9,129.5866,-114.6283,87.0,bottom
L-GND1,139.811,-148.5298,0.0,top
L-PSW1,80.706492,-179.620727,9.0,top
L-S0,79.3323,-127.6911,9.0,top
L-S1,97.6045,-124.797,9.0,top
L-S10,156.5,-131.5,0.0,top
L-S11,175.0,-131.5,0.0,top
L-S12,85.1204,-164.2355,9.0,top
L-S13,103.3926,-161.3415,9.0,top
L-S14,119.5442,-143.7625,6.0,top
L-S15,137.765,-136.9308,3.0,top
L-S16,156.5,-150.0,0.0,top
L-S17,175.0,-150.0,0.0,top
L-S18,156.5,-175.0,0.0,top
L-S19,175.0,-175.0,0.0,top
L-S2,115.6767,-106.9652,6.0,top
L-S20,194.8331,-176.5609,351.0,top
L-S3,135.8286,-99.9815,3.0,top
L-S4,156.5,-113.0,0.0,top
L-S5,175.0,-113.0,0.0,top
L-S6,82.2263,-145.9633,9.0,top
L-S7,100.4986,-143.0693,9.0,top
L-S8,117.6104,-125.3639,6.0,top
L-S9,136.7968,-118.4562,3.0,top
R-BAT+1,281.189,-148.6208,0.0,top
R-BAT+2,271.189,-173.0137,0.0,top
R-D0,329.4109,-122.4477,99.0,bottom
R-D03,272.4009,-95.4209,93.0,bottom
R-D1,311.1387,-119.5537,99.0,bottom
R-D10,251.5,-127.3,90.0,bottom
R-D11,233.0,-127.3,90.0,bottom
R-D12,323.6228,-158.9922,99.0,bottom
R-D13,305.3506,-156.0982,99.0,bottom
R-D14,288.9332,-138.8538,96.0,bottom
R-D15,270.4644,-132.3702,93.0,bottom
R-D16,251.5,-145.8,90.0,bottom
R-D17,233.0,-145.8,90.0,bottom
R-D18,251.5,-170.8,90.0,bottom
R-D19,233.0,-170.8,90.0,bottom
R-D2,292.8007,-102.0565,96.0,bottom
R-D20,212.596,-173.5077,81.0,bottom
R-D4,251.5,-108.8,90.0,bottom
R-D5,233.0,-108.8,90.0,bottom
R-D6,326.5169,-140.72,99.0,bottom
R-D7,308.2446,-137.8259,99.0,bottom
R-D8,290.8669,-120.4552,96.0,bottom
R-D9,271.4326,-113.8956,93.0,bottom
R-GND1,275.189,-148.6208,0.0,top
R-PSW1,333.75602,-179.620743,171.0,top
R-S0,335.6677,-127.6911,351.0,top
R-S1,317.3955,-124.797,351.0,top
R-S10,258.5,-131.5,0.0,top
R-S11,240.0,-131.5,0.0,top
R-S12,329.8796,-164.2355,351.0,top
R-S13,311.6074,-161.3415,351.0,top
R-S14,295.4558,-143.7625,354.0,top
R-S15,277.235,-136.9308,357.0,top
R-S16,258.5,-150.0,0.0,top
R-S17,240.0,-150.0,0.0,top
R-S18,258.5,-175.0,0.0,top
R-S19,240.0,-175.0,0.0,top
R-S2,299.3233,-106.9652,354.0,top
R-S20,220.1669,-176.5609,9.0,top
R-S3,279.1714,-99.9815,357.0,top
R-S4,258.5,-113.0,0.0,top
R-S5,240.0,-113.0,0.0,top
R-S6,332.7737,-145.9633,351.0,top
R-S7,314.5014,-143.0693,351.0,top
R-S8,297.3896,-125.3639,354.0,top
R-S9,278.2032,-118.4562,357.0,top
U1,130.721,-173.0137,180.0,bottom
U2,284.279,-173.0137,180.0,bottom
